prepare 1
half 1
wastes 1
your 56
buds 3
remote 1
rider 1
youth 10
without 6
lion's 1
begins 1
these 14
imperfect 1
would 12
victor 1
gluttoning 1
ten 7
sake 4
whatsoever 1
thus 7
wreck'd 1
' 4
require 1
devise 1
fortune's 1
th' 1
left 3
wink 2
wing 1
much 10
wind 1
object 1
poorly 2
humble 1
folly 2
entitled 1
telling 1
hang 3
spends 1
restful 1
defence 1
achieve 1
picture's 1
yellow 1
gold 2
hearsay 1
same 5
feeding 1
after 7
quiet 1
unseeing 1
hand 9
reigns 1
a 75
twire 1
sets 1
i 147
blood 5
o 26
the 259
straight 1
veins 1
sunset 1
days 11
thank 1
faces 1
yours 2
god 1
razed 1
acceptable 1
self-doing 1
thy 140
good 7
got 1
elipses 1
imitate 1
wish 3
tie 1
wise 1
vassalage 1
disperse 1
others 3
dateless 1
making 3
owes 1
lace 1
pay 3
clearer 1
list 1
strange 3
war's 1
gone 7
lack 1
external 2
sang 1
spending 1
aside 1
authority 1
supposed 1
compounds 1
child 6
outgoing 1
young 2
divided 1
blam'd 1
methinks 2
strumpeted 1
remove 1
wisdom 1
soul's 2
winter's 2
eloquence 1
society 1
love' 1
forlorn 1
root 1
treasure 7
fairest 1
spoil 1
lend 3
live 21
roof 1
cheek 5
wits 1
drain'd 1
room 1
better 6
with 111
there 7
permit 1
well 9
prognosticate 1
unstained 1
monuments 1
changing 2
gains 1
moiety 1
loved 2
executor 1
possesseth 1
fierce 2
pen 5
hate 3
poets 1
hath 23
write 6
'this 2
flow 1
conceit 2
self-love 3
proceed 1
totter'd 1
birth 3
hast 9
heaven 6
ever 5
loving 4
even 14
woo'd 1
self-substantial 1
strongly 1
shadows 4
gav'st 1
homage 1
gild'st 1
wait 1
hundred 1
iniquity 1
woman 2
pine 1
save 6
matter 1
instant 1
walls 1
top 1
peep 1
too 8
surly 1
have 25
wail 2
confounds 2
choirs 1
succession 1
question 2
contented 2
lover 1
loves 4
boughs 1
spirit 4
wishing 1
picture 3
writ 2
poesy 1
death's 4
outworn 2
twain 3
rose 3
thousand 1
almost 2
fuel 1
chide 3
reign 1
lets 1
celestial 1
upon 11
graces 2
earthly 1
plead 2
guilded 1
wake 1
judgment 1
whether 4
west 2
quite 4
vilest 1
graced 1
reeleth 1
traffic 1
counting 1
lay 1
wert 1
lest 4
kings 1
crave 1
pardon 1
sway 1
less 2
hymns 1
were 16
ceremony 1
evil 1
prisoner 1
muse 7
cause 1
wailing 1
times 9
wound 1
vulgar 2
equipage 1
uneared 1
attending 2
land 1
says 1
burn 2
twofold 1
whence 1
chief 2
fill'd 1
cry 1
despite 4
burning 1
groan 2
crown'd 2
lengths 1
rondure 1
bereft 1
triumphant 1
lame 2
prey 2
assail'd 1
robbing 1
fullness 1
pity 1
decay 8
grieve 1
wherein 1
mountain 1
liberty 2
perfumed 1
chopp'd 1
whate'er 1
destroys 1
let 15
state 6
sufferance 1
thinks 1
welcome 1
interchange 1
recounting 1
abide-- 1
night 15
want 3
pace 1
each 10
compounded 1
deserts 1
to-morrow 2
self-loving 1
wane 1
winters 1
